"Accession_Number","Clonal_Complex","Country","Gnumber","Host","Map","SIB_Number","Sample.included.in.Loiseau.et.al..2020"
"ERS2573045","La1.6","Nigeria","G02538","Human",1,"SB0944",1
"ERR1203064","La1.6","Ghana","G08506","Human",1,"SB0944",1
"ERR502499","La1.6","Ghana","G08621","Human",1,"SB1025",1
"ERR502526","La1.6","Ghana","G08645","Human",1,"New pattern",1
"ERR502529","La1.6","Ghana","G08648","Human",1,"SB0944",1
"ERR502538","La1.6","Ghana","G08654","Human",1,"SB0944",1
"ERR553061","La1.6","Germany","G13968","Human",0,"SB0944",1
"ERR2515016","La1.6","United Kingdom","G36740","Human",0,"SB1027",1
"ERR4769567","La1.6","Mali","G66533","Cattle",1,"SB0300",0
"ERR3458084","La1.3","Ethiopia","G00229","Human",1,"SB1984",1
"ERR3458085","La1.3","Ethiopia","G00234","Human",1,"SB0133",1
"ERR3458086","La1.3","Ethiopia","G00244","Human",1,"SB0303",1
"ERR3458080","La1.3","Ethiopia","G00370","Cattle",1,"New pattern",1
"ERR3458081","La1.3","Ethiopia","G00371","Cattle",1,"SB1477",1
"ERR3458087","La1.3","Burundi","G00396","Cattle",1,"SB0303",1
"SRR1173570","La1.3","Uganda","G22538","chimpanzee",1,"SB0133",1
"ERR1200622","La1.3","Ethiopia","G26444",,0,"SB0303",1
"SRR1791710","La1.3","Tanzania","G36917","Primate",1,"SB2467",1
"SRR1791712","La1.3","Tanzania","G36919","Primate",1,"SB2467",1
"SRR8065069","La1.3","Uganda","G41490","Cattle",1,"SB1469",1
"SRR8065070","La1.3","Uganda","G41491","Cattle",1,"SB1471",1
"SRR8065071","La1.3","Uganda","G41492","Cattle",1,"SB1469",1
"SRR8065073","La1.3","Uganda","G41494","Cattle",1,"SB0133",1
"SRR8065074","La1.3","Uganda","G41495","Cattle",1,"SB0133",1
"SRR8065078","La1.3","Uganda","G41499","Cattle",1,"SB1469",1
"SRR8065079","La1.3","Uganda","G41500","Cattle",1,"SB1469",1
"SRR8065080","La1.3","Uganda","G41501","Cattle",1,"SB0133",1
"SRR8065081","La1.3","Uganda","G41502","Cattle",1,"SB0133",1
"SRR8065082","La1.3","Uganda","G41503","Cattle",1,"SB1469",1
"SRR8065084","La1.3","Uganda","G41505","Cattle",1,"SB0133",1
"SRR8065085","La1.3","Uganda","G41506","Cattle",1,"SB1469",1
"SRR8065086","La1.3","Uganda","G41507","Cattle",1,"SB1469",1
"SRR8065087","La1.3","Uganda","G41508","Cattle",1,"SB1469",1
"SRR8063651","La1.3","Ethiopia","G41517","Cattle",1,"SB0133",1
"SRR8063652","La1.3","Ethiopia","G41518","Cattle",1,"SB0912",1
"SRR8063653","La1.3","Ethiopia","G41519","Cattle",1,"SB1176",1
"SRR8063654","La1.3","Ethiopia","G41520","Cattle",1,"SB1176",1
"SRR8063655","La1.3","Ethiopia","G41521","Cattle",1,"SB0912",1
"SRR8063656","La1.3","Ethiopia","G41522","Cattle",1,"SB1176",1
"SRR8063657","La1.3","Ethiopia","G41523","Cattle",1,"SB1176",1
"SRR8063658","La1.3","Ethiopia","G41524","Cattle",1,"SB1176",1
"SRR8063659","La1.3","Ethiopia","G41525","Cattle",1,"SB1176",1
"SRR8063660","La1.3","Ethiopia","G41526","Cattle",1,"SB0133",1
"SRR8063661","La1.3","Ethiopia","G41527","Cattle",1,"SB1176",1
"SRR8063662","La1.3","Ethiopia","G41528","Cattle",1,"SB0912",1
"SRR8063663","La1.3","Ethiopia","G41529","Cattle",1,"SB1176",1
"SRR8063664","La1.3","Ethiopia","G41530","Cattle",1,"New pattern",1
"SRR8063665","La1.3","Ethiopia","G41531","Cattle",1,"SB1176",1
"SRR8063666","La1.3","Ethiopia","G41532","Cattle",1,"SB1176",1
"ERR3077969","La1.3","Tanzania","G51349","Human",1,"New pattern",0
"ERR4769565","La1.3","Ethiopia","G66535","Cattle",0,"SB1477",0
"ERR4769561","La1.3","Ethiopia","G66539","Cattle",0,"SB0303",0
"ERR4769560","La1.3","Ethiopia","G66540","Cattle",0,"SB2595",0
"ERR4769559","La1.3","Ethiopia","G66541","Cattle",0,"SB1176",0
"ERR4772237","La1.3","Ethiopia","G66542","Human",0,"SB0303",0
"ERR4772236","La1.3","Ethiopia","G66543","Human",0,"SB0133",0
"ERR4772235","La1.3","Ethiopia","G66544","Human",0,"SB1984",0
"ERR4772234","La1.3","Ethiopia","G66545","Human",0,"SB0303",0
"ERR4772231","La1.3","Ethiopia","G66710","Cattle",1,"SB1176",0
"ERR4772228","La1.3","Ethiopia","G66713","Cattle",1,"SB1176",0
"ERR4772227","La1.3","Ethiopia","G66714","Cattle",1,"SB0133",0
"ERR4772224","La1.3","Ethiopia","G66717","Cattle",1,"SB1176",0
"ERR4772223","La1.3","Ethiopia","G66718","Cattle",1,"SB0133",0
"ERR4772222","La1.3","Ethiopia","G66719","Cattle",1,"New pattern",0
"ERR4772221","La1.3","Ethiopia","G66720","Cattle",1,"SB0133",0
"ERR4772220","La1.3","Ethiopia","G66721","Cattle",1,"SB0133",0
"ERR4772217","La1.3","Ethiopia","G66724","Dromedary",1,"SB1176",0
"ERR4772216","La1.3","Ethiopia","G66725","Cattle",1,"SB1176",0
"ERR4772215","La1.3","Ethiopia","G66726","Cattle",1,"SB1176",0
"ERR4772214","La1.3","Ethiopia","G66727","Cattle",1,"SB1176",0
"ERR4772213","La1.3","Ethiopia","G66728","Cattle",1,"New pattern",0
"ERR4772209","La1.3","Ethiopia","G66732","Cattle",1,"SB0303",0
"ERR4772208","La1.3","Ethiopia","G66733","Cattle",1,"SB1176",0
"ERR1462578","La2","Germany","G36645","Cattle",1,"SB0418",1
"ERR1462593","La2","Germany","G36660","Cattle",1,"SB0418",1
"ERR2517345","La2","Netherlands","G36760",,0,"SB0835",1
"ERR2510183","La2","Peru","G36761",,0,"SB0415",1
"ERR2510206","La2","Peru","G36762",,0,"SB0415",1
