Run,BioProject,geo_loc_name_country,Center Name,Instrument,LibraryLayout,ReleaseDate,SRA Study,Bytes,Bases,Collection_Date
SRR13015794,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,226924548.0,484276812.0,2018-12-12
SRR13015795,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,228513188.0,485490250.0,2018-12-12
SRR13015796,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,263705241.0,571607344.0,2018-12-12
SRR13015797,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,305487760.0,663540195.0,2018-12-12
SRR13015798,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,230625153.0,497372971.0,2018-12-12
SRR13015799,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,224352992.0,481854027.0,2018-12-12
SRR13015800,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,200588766.0,433453504.0,2018-12-12
SRR13015801,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,226845823.0,486091395.0,2018-12-12
SRR13015802,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,242454906.0,520472997.0,2018-12-12
SRR13015803,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,214207621.0,460961632.0,2018-12-12
SRR13015804,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,203445183.0,434536243.0,2018-12-12
SRR13015805,PRJNA675476,Brazil,EMBRAPA BEEF CATTLE,Illumina HiSeq 2500,PAIRED,2021-03-01T00:00:00Z,SRP291910,222542616.0,481907128.0,2018-12-12
