"SB","binary","octal","hexadecimal"
"SB0001",1.00111111111111E+042,477777777413071,"4F-7F-7F-7F-0B-0F"
"SB0002",1.00111111111101E+042,477757777413071,"4F-7E-7F-7F-0B-0F"
"SB0009",1.1011010000011E+042,664063777777200,"6D-03-1F-7F-FF-20"
"SB0040",1.10111110111111E+042,676773777770600,"6F-5F-5F-7F-F8-60"
"SB0054",1.10010100000111E+042,624073777777600,"65-03-5F-7F-FF-60"
"SB0058",1.11111111111011E+042,777737777760431,"7F-7D-7F-7F-F0-47"
"SB0063",1.11111111111111E+042,777777347760471,"7F-7F-7B-4F-F0-4F"
"SB0066",1.10111111111111E+042,677776777760601,"6F-7F-77-7F-F0-61"
"SB0067",1.11111111111111E+042,777776777760601,"7F-7F-77-7F-F0-61"
"SB0078",1.11111000100111E+042,770477777777671,"7E-13-7F-7F-FF-6F"
"SB0085",1.1111111111E+042,777603405760430,"7F-78-1C-0B-F0-46"
"SB0087",1.00000001111111E+042,401776777760601,"40-3F-77-7F-F0-61"
"SB0089",1.10001110111111E+042,616773737777600,"63-5F-5F-3F-FF-60"
"SB0095",1.11000011111111E+042,703777740003071,"70-7F-7F-40-03-0F"
"SB0097",1.11000011111111E+042,703777740003031,"70-7F-7F-40-03-07"
"SB0101",1.00000001111111E+042,401777777413031,"40-3F-7F-7F-0B-07"
"SB0111",1.11111010111E+042,772701000003631,"7E-5C-08-00-03-67"
"SB0112",1.111E+039,74000032000600,"0F-00-00-34-00-60"
"SB0117",111001111,3471,"00-00-00-00-03-4F"
"SB0118",1100000,600,"00-00-00-00-00-60"
"SB0119",1.1011111011111E+042,676763677777600,"6F-5F-1E-7F-FF-60"
"SB0120",1.10111110111111E+042,676773777777600,"6F-5F-5F-7F-FF-60"
"SB0121",1.10111110111111E+042,676773677777600,"6F-5F-5E-7F-FF-60"
"SB0122",1.0111110111111E+041,276773677777600,"2F-5F-5E-7F-FF-60"
"SB0123",1.10111110111111E+042,676773677775600,"6F-5F-5E-7F-FD-60"
"SB0124",1.00011110111111E+042,436773677777600,"47-5F-5E-7F-FF-60"
"SB0125",1.10111110111111E+042,676773677747600,"6F-5F-5E-7F-E7-60"
"SB0126",1.10110110111111E+042,666773677737600,"6D-5F-5E-7F-DF-60"
"SB0127",1.101111101111E+042,676743777777600,"6F-5E-1F-7F-FF-60"
"SB0128",1.10001100000111E+042,614073777777600,"63-03-5F-7F-FF-60"
"SB0129",1.10111110100111E+042,676473777777600,"6F-53-5F-7F-FF-60"
"SB0130",1.10111110101111E+042,676573777777600,"6F-57-5F-7F-FF-60"
"SB0131",1.10101110101111E+042,656573777777600,"6B-57-5F-7F-FF-60"
"SB0132",1.10111110111111E+042,676773676177600,"6F-5F-5E-7C-7F-60"
"SB0133",1.10000010111111E+042,602773777777600,"60-5F-5F-7F-FF-60"
"SB0134",1.10001110111111E+042,616773777777600,"63-5F-5F-7F-FF-60"
"SB0135",1.10000110111111E+042,606773677777600,"61-5F-5E-7F-FF-60"
"SB0136",1.10001100011111E+042,614373777777600,"63-0F-5F-7F-FF-60"
"SB0137",1.10001110111111E+042,616773777771600,"63-5F-5F-7F-F9-60"
"SB0138",1.10111100101111E+042,674573777743600,"6F-17-5F-7F-E3-60"
"SB0139",1.10110100000111E+042,664073777767600,"6D-03-5F-7F-F7-60"
"SB0140",1.10110100000111E+042,664073777777600,"6D-03-5F-7F-FF-60"
"SB0141",1.10100100000111E+042,644073777777600,"69-03-5F-7F-FF-60"
"SB0142",1.10110100000111E+042,664073777763600,"6D-03-5F-7F-F3-60"
"SB0143",1.10110100000101E+042,664053777775600,"6D-02-5F-7F-FD-60"
"SB0144",1.10110100000111E+042,664070377777600,"6D-03-43-7F-FF-60"
"SB0145",1.10100000000001E+042,640013777777600,"68-00-5F-7F-FF-60"
"SB0146",1.10111110101111E+042,676573777017600,"6F-57-5F-7E-0F-60"
"SB0147",1.11111000111111E+042,770777777777671,"7E-1F-7F-7F-FF-6F"
"SB0148",1.11111000111111E+042,770777707777671,"7E-1F-7F-0F-FF-6F"
"SB0152",1E+042,400000077777600,"40-00-00-7F-FF-60"
"SB0153",1.1E+042,600000017777600,"60-00-00-1F-FF-60"
"SB0154",1.111E+039,74000037425400,"0F-00-00-3F-15-40"
"SB0155",1.111E+039,74000037777600,"0F-00-00-3F-FF-60"
"SB0156",1.0111E+041,270000036763600,"2E-00-00-3D-F3-60"
"SB0157",1E+041,200003717207600,"20-00-1F-1E-87-60"
"SB0158",1.110000001111E+042,700741007764671,"70-1E-08-0F-F4-6F"
"SB0159",1.010000000011E+042,500141016564671,"50-06-08-1D-74-6F"
"SB0162",1.1111111111111E+018,7777600,"00-00-00-0F-FF-60"
"SB0163",1.10111110101111E+042,676573777637600,"6F-57-5F-7F-9F-60"
"SB0164",1.00111110111111E+042,476773677777400,"4F-5F-5E-7F-FF-40"
"SB0172",1.11111111111111E+042,777777776000071,"7F-7F-7F-7C-00-0F"
"SB0173",1.11111111111111E+042,777777777410031,"7F-7F-7F-7F-08-07"
"SB0195",1.11111111111111E+042,777777777720671,"7F-7F-7F-7F-D0-6F"
"SB0207",1.11111111111111E+042,777777777760471,"7F-7F-7F-7F-F0-4F"
"SB0220",1.11111111111111E+042,777777677760601,"7F-7F-7E-7F-F0-61"
"SB0221",1.11111111111111E+042,777777777760600,"7F-7F-7F-7F-F0-60"
"SB0222",1.11111111111111E+042,777777777760601,"7F-7F-7F-7F-F0-61"
"SB0223",1.11111010111111E+042,772777777777671,"7E-5F-7F-7F-FF-6F"
"SB0228",1.00111111111E+042,477701777413071,"4F-7C-0F-7F-0B-0F"
"SB0234",1.11111111111111E+042,777777777413671,"7F-7F-7F-7F-0B-6F"
"SB0235",1.11111111111111E+042,777771777413671,"7F-7F-4F-7F-0B-6F"
"SB0239",1.00111111111111E+042,477777776413071,"4F-7F-7F-7D-0B-0F"
"SB0240",1.00111111111111E+042,477777777413031,"4F-7F-7F-7F-0B-07"
"SB0242",1.00110011111111E+042,463777777413071,"4C-7F-7F-7F-0B-0F"
"SB0243",1.00111111111011E+042,477737477413071,"4F-7D-7C-7F-0B-0F"
