,name,sample,county,species,filename,pair,SB,SequenceName,ClusterNumber,clade
0,ERR125617,ERR125617,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125617_2.fastq.gz,1,SB0140,ERR125617,7,NI-1
1,ERR125622,ERR125622,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125622_1.fastq.gz,1,SB0140,ERR125622,7,NI-1
2,ERR125598,ERR125598,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125598_2.fastq.gz,1,SB0140,ERR125598,7,NI-1
3,ERR125612,ERR125612,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125612_1.fastq.gz,1,SB0140,ERR125612,7,NI-1
4,ERR125603,ERR125603,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125603_1.fastq.gz,1,SB0140,ERR125603,7,NI-1
5,ERR125611,ERR125611,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125611_2.fastq.gz,1,SB0140,ERR125611,7,NI-1
6,ERR125600,ERR125600,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125600_1.fastq.gz,1,SB0140,ERR125600,7,NI-1
7,ERR125626,ERR125626,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125626_2.fastq.gz,1,SB0140,ERR125626,7,NI-1
8,ERR125625,ERR125625,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125625_2.fastq.gz,1,SB0140,ERR125625,7,NI-1
9,ERR125616,ERR125616,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125616_2.fastq.gz,1,SB0140,ERR125616,7,NI-1
10,ERR125614,ERR125614,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125614_1.fastq.gz,1,SB0140,ERR125614,7,NI-1
11,ERR125610,ERR125610,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125610_1.fastq.gz,1,SB0140,ERR125610,7,NI-1
12,ERR125606,ERR125606,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125606_1.fastq.gz,1,SB0140,ERR125606,7,NI-1
13,ERR125602,ERR125602,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125602_2.fastq.gz,1,SB0140,ERR125602,7,NI-1
14,ERR125618,ERR125618,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125618_1.fastq.gz,1,SB0140,ERR125618,7,NI-1
15,ERR125599,ERR125599,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125599_2.fastq.gz,1,SB0140,ERR125599,7,NI-1
16,ERR125601,ERR125601,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125601_1.fastq.gz,1,SB0140,ERR125601,7,NI-1
17,ERR125623,ERR125623,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125623_2.fastq.gz,1,SB0140,ERR125623,7,NI-1
18,ERR125605,ERR125605,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125605_2.fastq.gz,1,SB0140,ERR125605,7,NI-1
19,ERR125615,ERR125615,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125615_2.fastq.gz,1,SB0140,ERR125615,7,NI-1
20,ERR125613,ERR125613,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125613_2.fastq.gz,1,SB0140,ERR125613,7,NI-1
21,ERR125621,ERR125621,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125621_2.fastq.gz,1,SB0140,ERR125621,7,NI-1
22,ERR125620,ERR125620,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125620_1.fastq.gz,1,SB0140,ERR125620,7,NI-1
23,ERR125604,ERR125604,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125604_2.fastq.gz,1,SB0140,ERR125604,7,NI-1
24,ERR125628,ERR125628,NI,Cow,/storage/btbgenie/mbovis_ireland/NI/ERR125628_2.fastq.gz,1,SB0140,ERR125628,7,NI-1
