SB,binary,octal,hexadecimal
SB0001,1001111111111111111111111111000010110001111,477777777413071,4F-7F-7F-7F-0B-0F
SB0002,1001111111111011111111111111000010110001111,477757777413071,4F-7E-7F-7F-0B-0F
SB0009,1101101000001100111111111111111111110100000,664063777777200,6D-03-1F-7F-FF-20
SB0040,1101111101111110111111111111111110001100000,676773777770600,6F-5F-5F-7F-F8-60
SB0054,1100101000001110111111111111111111111100000,624073777777600,65-03-5F-7F-FF-60
SB0058,1111111111110111111111111111111100001000111,777737777760431,7F-7D-7F-7F-F0-47
SB0063,1111111111111111110111001111111100001001111,777777347760471,7F-7F-7B-4F-F0-4F
SB0066,1101111111111111101111111111111100001100001,677776777760601,6F-7F-77-7F-F0-61
SB0067,1111111111111111101111111111111100001100001,777776777760601,7F-7F-77-7F-F0-61
SB0078,1111110001001111111111111111111111111101111,770477777777671,7E-13-7F-7F-FF-6F
SB0085,1111111111100000111000001011111100001000110,777603405760430,7F-78-1C-0B-F0-46
SB0087,1000000011111111101111111111111100001100001,401776777760601,40-3F-77-7F-F0-61
SB0089,1100011101111110111110111111111111111100000,616773737777600,63-5F-5F-3F-FF-60
SB0095,1110000111111111111111000000000000110001111,703777740003071,70-7F-7F-40-03-0F
SB0097,1110000111111111111111000000000000110000111,703777740003031,70-7F-7F-40-03-07
SB0101,1000000011111111111111111111000010110000111,401777777413031,40-3F-7F-7F-0B-07
SB0111,1111110101110000010000000000000000111100111,772701000003631,7E-5C-08-00-03-67
SB0112,0001111000000000000000110100000000001100000,074000032000600,0F-00-00-34-00-60
SB0117,0000000000000000000000000000000000111001111,000000000003471,00-00-00-00-03-4F
SB0118,0000000000000000000000000000000000001100000,000000000000600,00-00-00-00-00-60
SB0119,1101111101111100111101111111111111111100000,676763677777600,6F-5F-1E-7F-FF-60
SB0120,1101111101111110111111111111111111111100000,676773777777600,6F-5F-5F-7F-FF-60
SB0121,1101111101111110111101111111111111111100000,676773677777600,6F-5F-5E-7F-FF-60
SB0122,0101111101111110111101111111111111111100000,276773677777600,2F-5F-5E-7F-FF-60
SB0123,1101111101111110111101111111111111011100000,676773677775600,6F-5F-5E-7F-FD-60
SB0124,1000111101111110111101111111111111111100000,436773677777600,47-5F-5E-7F-FF-60
SB0125,1101111101111110111101111111111001111100000,676773677747600,6F-5F-5E-7F-E7-60
SB0126,1101101101111110111101111111110111111100000,666773677737600,6D-5F-5E-7F-DF-60
SB0127,1101111101111000111111111111111111111100000,676743777777600,6F-5E-1F-7F-FF-60
SB0128,1100011000001110111111111111111111111100000,614073777777600,63-03-5F-7F-FF-60
SB0129,1101111101001110111111111111111111111100000,676473777777600,6F-53-5F-7F-FF-60
SB0130,1101111101011110111111111111111111111100000,676573777777600,6F-57-5F-7F-FF-60
SB0131,1101011101011110111111111111111111111100000,656573777777600,6B-57-5F-7F-FF-60
SB0132,1101111101111110111101111100011111111100000,676773676177600,6F-5F-5E-7C-7F-60
SB0133,1100000101111110111111111111111111111100000,602773777777600,60-5F-5F-7F-FF-60
SB0134,1100011101111110111111111111111111111100000,616773777777600,63-5F-5F-7F-FF-60
SB0135,1100001101111110111101111111111111111100000,606773677777600,61-5F-5E-7F-FF-60
SB0136,1100011000111110111111111111111111111100000,614373777777600,63-0F-5F-7F-FF-60
SB0137,1100011101111110111111111111111110011100000,616773777771600,63-5F-5F-7F-F9-60
SB0138,1101111001011110111111111111111000111100000,674573777743600,6F-17-5F-7F-E3-60
SB0139,1101101000001110111111111111111101111100000,664073777767600,6D-03-5F-7F-F7-60
SB0140,1101101000001110111111111111111111111100000,664073777777600,6D-03-5F-7F-FF-60
SB0141,1101001000001110111111111111111111111100000,644073777777600,69-03-5F-7F-FF-60
SB0142,1101101000001110111111111111111100111100000,664073777763600,6D-03-5F-7F-F3-60
SB0143,1101101000001010111111111111111111011100000,664053777775600,6D-02-5F-7F-FD-60
SB0144,1101101000001110000111111111111111111100000,664070377777600,6D-03-43-7F-FF-60
SB0145,1101000000000010111111111111111111111100000,640013777777600,68-00-5F-7F-FF-60
SB0146,1101111101011110111111111110000011111100000,676573777017600,6F-57-5F-7E-0F-60
SB0147,1111110001111111111111111111111111111101111,770777777777671,7E-1F-7F-7F-FF-6F
SB0148,1111110001111111111110001111111111111101111,770777707777671,7E-1F-7F-0F-FF-6F
SB0152,1000000000000000000001111111111111111100000,400000077777600,40-00-00-7F-FF-60
SB0153,1100000000000000000000011111111111111100000,600000017777600,60-00-00-1F-FF-60
SB0154,0001111000000000000000111111000101011000000,074000037425400,0F-00-00-3F-15-40
SB0155,0001111000000000000000111111111111111100000,074000037777600,0F-00-00-3F-FF-60
SB0156,0101110000000000000000111101111100111100000,270000036763600,2E-00-00-3D-F3-60
SB0157,0100000000000000111110011110100001111100000,200003717207600,20-00-1F-1E-87-60
SB0158,1110000001111000010000001111111101001101111,700741007764671,70-1E-08-0F-F4-6F
SB0159,1010000000011000010000011101011101001101111,500141016564671,50-06-08-1D-74-6F
SB0162,0000000000000000000000001111111111111100000,000000007777600,00-00-00-0F-FF-60
SB0163,1101111101011110111111111111100111111100000,676573777637600,6F-57-5F-7F-9F-60
