Run,Assay Type,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,BioProject,AvgSpotLen,Bases,Bytes,Library Name,Host,Collection_Date,BioSampleModel,isolate,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Isolation_source,strain,collected_by,lat_lon,host_disease,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),sample_name,sample_type,AssemblyName,INSDC_center_name,REA,Description,external_id,Submitter_Id,passage_history,samp_size,identified_by,lab_host,common_name
SRR1791692,WGS,SAMN03300050,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867354,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-0121,SRP053287,PRJNA251692,461,843382377,528326885,250: 00-0121,Cervid,2000,Pathogen.cl,MB1,USA,North America,USA:WI,Tissue,00-0121,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791693,WGS,SAMN03300051,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867355,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-2684,SRP053287,PRJNA251692,474,607447402,398476187,250: 00-2684,Cattle,2000,Pathogen.cl,MB2,USA,North America,USA:MI,Tissue,00-2684,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791694,WGS,SAMN03300052,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867356,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-3221,SRP053287,PRJNA251692,455,680983832,442130614,250: 00-3221,Bobcat,2000,Pathogen.cl,MB3,USA,North America,USA:MI,Tissue,00-3221,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791695,WGS,SAMN03300053,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867357,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-3692,SRP053287,PRJNA251692,460,913569836,611973294,250: 00-3692,Cattle,2000,Pathogen.cl,MB4,USA,North America,USA:KS,Tissue,00-3692,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791696,WGS,SAMN03300054,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867358,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-3942,SRP053287,PRJNA251692,470,715831782,464095190,250: 00-3942,Cattle,2000,Pathogen.cl,MB5,USA,North America,USA:MI,Tissue,00-3942,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791697,WGS,SAMN03300055,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867359,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-4177,SRP053287,PRJNA251692,461,944198847,639788676,250: 00-4177,Cattle,2000,Pathogen.cl,MB6,USA,North America,USA:TX,Tissue,00-4177,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791698,WGS,SAMN03300056,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867360,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-5559,SRP053287,PRJNA251692,441,773887879,513305378,250: 00-5559,Cattle,2000,Pathogen.cl,MB7,USA,North America,USA:MI,Tissue,00-5559,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791699,WGS,SAMN03300057,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867361,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,00-6095,SRP053287,PRJNA251692,472,1067277336,681519823,250: 00-6095,Cattle,2000,Pathogen.cl,MB8,USA,North America,USA:MI,Tissue,00-6095,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791700,WGS,SAMN03300058,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867362,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-0050,SRP053287,PRJNA251692,453,864648446,663543768,250: 01-0050,Cattle,2001,Pathogen.cl,MB9,Mexico,North America,Mexico,Tissue,01-0050,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
SRR1791701,WGS,SAMN03300059,USDA-NVSL-DBL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX867363,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis variant bovis,ILLUMINA,2015-03-11T00:00:00Z,01-0423,SRP053287,PRJNA251692,478,385821688,229580779,250: 01-0423,Cattle,2001,Pathogen.cl,MB10,,,,Tissue,01-0423,Not Collected,Not Collected,Bovine Tuberculosis,,,,,,,,,,,,,,,
