SequenceName	ClusterNumber
1212	1
19-4938	1
19-4022	-1
529	2
2703	2
19-8294	2
ref	2
5572	3
19-6784	3
2014	3
19-6359	3
19-7209	3
19-1603	3
4794	3
2018	3
19-6908	3
3747	3
19-5969	3
19-2597	3
2114p	3
19-7328	3
365	3
19-5771	3
19-578	3
3825	3
19-1469	3
3377	3
3090	3
1829	3
973	3
3738	3
2591	3
19-5777	3
19-6246	3
3091	3
19-2586	3
19-1629	3
183	3
19-65	3
19-6360	3
19-7323	3
19-7512	3
724p	3
3261	3
1768	3
3260	3
19-598	3
2395	3
19-4168	3
19-4167	3
2266	3
2809	3
19-2919	3
3263	3
1771	3
3266	3
2980	3
2411	3
2397	3
5220	3
19-7433	3
4960	4
4947	4
19-6277	4
1689	4
2388	4
2410	4
2385	4
3496	4
19-6108	4
3762	4
19-7577	4
19-7348	4
19-1428	4
2602	4
19-3370	4
4945	4
19-6793	4
19-6311	4
19-5162	4
19-4803	4
4946	4
19-3761	4
1418	4
19-2376	4
19-2613	4
4798	4
4941	4
19-3366	4
1468	4
548	4
182-MBovis	-1
19-4281	-1
2061	-1
43-MBovis	5
1034	5
27-MBovis	5
45-MBovis	5
7-10423	5
41-MBovis	5
17-MBovis	5
19-MBovis	5
42-MBovis	5
48-MBovis	5
59-6110	5
48-2919	5
59-MBovis	5
55-4348	5
3-10110	5
26-12883	5
37-MBovis	5
49-MBovis	5
35-MBovis	5
54-MBovis	5
39-MBovis	5
23-MBovis	5
51-MBovis	5
44-MBovis	5
25-MBovis	5
30-MBovis	5
14-MBovis	5
47-MBovis	5
52-3698	5
38-MBovis	5
41-2165	5
5-10284	5
51-3292	5
17-11662	5
13-11594	5
56-MBovis	5
36-MBovis	5
50-MBovis	5
26-MBovis	5
22-12200	5
29-MBovis	5
24-MBovis	5
31-12952	5
28-12935	5
15-11643	5
19-11957	5
356	-1
461	-1
19-2438	-1
3495	6
2401	6
1585	6
2606	6
2611	6
2608	6
3480	6
19-7405	6
19-6468	6
19-5224	6
19-5222	6
19-5221	6
19-3989	6
19-4872	6
19-3990	6
459p	6
3413	6
1579	6
19-1426	6
19-4240	6
2423p	6
19-6357	6
19-1465	6
5158	6
3582	6
19-1690	6
19-1958	6
1953	6
717	6
19-4235	6
19-7464	6
19-2730	6
19-6656	6
1414	6
343	6
19-7517	6
19-1942	6
192	6
362p	6
2347	6
19-4161	6
4238	6
19-4165	6
2975	6
2977	6
2976	6
19-2600	6
3497	6
19-1601	6
19-7404	6
3437	6
19-5663	6
19-8206	6
19-7319	6
19-7190	6
19-2786	6
1143	6
19-6317	6
1147	6
4948	6
3958	6
4789	6
19-6321	6
19-3752	6
19-1230	6
1477	6
1429	6
4973	6
4792	6
4961	6
19-6107	6
19-6796	6
2739	7
ERR125601	7
ERR125598	7
ERR125605	7
ERR125624	7
ERR125622	7
ERR125613	7
ERR125621	7
ERR125617	7
ERR125623	7
ERR125604	7
ERR125609	7
ERR125619	7
ERR125620	7
ERR125627	7
ERR125628	7
ERR125611	7
ERR125618	7
ERR125612	7
ERR125610	7
ERR125616	7
ERR125625	7
ERR125615	7
ERR125614	7
ERR125626	7
ERR125599	7
ERR125606	7
ERR125600	7
ERR125603	7
ERR125608	7
ERR125602	7
ERR125607	7
19-5155	8
19-6276	8
